Repeat,LDH,PA,APOC3
1,0.41675429485405796,0.36939270699144927,0.2138529981544928
2,0.42367468088886895,0.33854119048441517,0.23778412862671588
3,0.4166134503115585,0.3544555875460854,0.2289309621423561
4,0.4865622720360651,0.3478805176778323,0.16555721028610262
5,0.388709236950484,0.32023273330647756,0.2910580297430385
6,0.45756137189229407,0.3431605816255879,0.19927804648211797
7,0.4099453344487364,0.341639681277558,0.2484149842737056
8,0.4423748357224175,0.32994489763247886,0.22768026664510366
9,0.3567654146085626,0.35672868449661976,0.2865059008948177
10,0.3868315954051984,0.3004561164058442,0.31271228818895735
11,0.41097600809027784,0.3081971225018789,0.28082686940784324
12,0.43173305117450955,0.32706657502972847,0.2412003737957621
13,0.4025099146451738,0.31480278276208784,0.2826873025927382
14,0.47667815206291836,0.3416817615437197,0.181640086393362
15,0.38980172406645586,0.33418315841082513,0.27601511752271896
16,0.5224161470350238,0.3238760826375981,0.1537077703273782
17,0.4794508790596569,0.328213096184695,0.1923360247556481
18,0.45293310511167584,0.3049402871843314,0.24212660770399275
19,0.44069542791451843,0.3135320952556349,0.24577247682984665
20,0.4155391356164051,0.33768514239927044,0.24677572198432463
21,0.46114248413384185,0.3390583091824302,0.19979920668372805
22,0.42678771055005754,0.3061806990456539,0.2670315904042886
23,0.41719730797552734,0.30852957126010866,0.274273120764364
24,0.4154717397693049,0.3442138744653723,0.24031438576532274
25,0.38724045340309815,0.33821278874578314,0.2745467578511187
26,0.42245605520983726,0.29533126044833546,0.28221268434182734
27,0.43739318071112215,0.3437641067262955,0.21884271256258242
28,0.4419649183576045,0.3231958864582786,0.23483919518411692
29,0.37947005914298354,0.3441064206911482,0.2764235201658683
30,0.47300374308759513,0.32608619793354,0.200910058978865
31,0.47122369559725424,0.2965747531965904,0.23220155120615543
32,0.4399581397087691,0.33150644171211247,0.22853541857911838
33,0.43299696941357024,0.33910888567067515,0.22789414491575466
34,0.466073202440084,0.33640614945448116,0.1975206481054349
35,0.4491835802472359,0.32592706808490046,0.2248893516678637
36,0.43501204391139775,0.3011683891788014,0.26381956690980085
37,0.40336982552455275,0.2846937500556846,0.3119364244197627
38,0.477502069910461,0.3159414686119179,0.20655646147762102
39,0.43309715417839495,0.34888098829855135,0.21802185752305367
40,0.45973369167228245,0.3510053570758083,0.1892609512519093
41,0.40441288024069577,0.3225690340509388,0.27301808570836544
42,0.47449864020666305,0.3395531287643367,0.1859482310290002
43,0.4099781173593619,0.2783037744915839,0.31171810814905426
44,0.38360895219549174,0.3585321396203719,0.2578589081841364
45,0.4642624080436766,0.3229041653382944,0.21283342661802906
46,0.3833397608512928,0.34524490363620824,0.2714153355124991
47,0.4551873108819227,0.34021940665467476,0.20459328246340253
48,0.41315563118017007,0.3191564534612828,0.26768791535854713
49,0.41703653302906774,0.3300235449699467,0.25293992200098564
50,0.4656332218975797,0.32981553302665556,0.2045512450757648
51,0.3705865287679846,0.35777324810822436,0.2716402231237911
52,0.38951818318054426,0.33195959023185523,0.27852222658760045
53,0.49023810583927524,0.31952170840036526,0.19024018576035945
54,0.4245265145042338,0.35607729436637914,0.21939619112938713
55,0.39915119856192444,0.3189417055432946,0.28190709589478097
56,0.44865830551580616,0.32032679378244516,0.23101490070174863
57,0.4635435049934932,0.2914008391440439,0.24505565586246292
58,0.5145370318562418,0.3116704622976678,0.17379250584609043
59,0.45927123863381764,0.31374123898039213,0.2269875223857902
60,0.49868919117242344,0.36219059394907543,0.13912021487850104
61,0.4137905945412227,0.3139858546594356,0.27222355079934163
62,0.3845357913651984,0.33475193431122086,0.28071227432358076
63,0.4123022088803185,0.3024687117168645,0.285229079402817
64,0.43219298670862044,0.3026141835522225,0.26519282973915703
65,0.39155738273695495,0.3172300715616685,0.2912125457013766
66,0.4349500229289924,0.32375221259293085,0.24129776447807683
67,0.4384937370164758,0.32181150723399393,0.2396947557495303
68,0.41334427802338336,0.28879413409999327,0.2978615878766235
69,0.41770814842407294,0.33516711567276075,0.24712473590316625
70,0.4423750442739778,0.3358499789138087,0.2217749768122136
71,0.37959375089419517,0.3247232405765081,0.29568300852929685
72,0.45302374859506045,0.35554617351470524,0.19143007789023428
73,0.4527908749502363,0.31573908901217157,0.2314700360375922
74,0.4244651876287745,0.32191906248436597,0.25361574988685953
75,0.46471411865325923,0.32515993303751917,0.2101259483092216
76,0.4470101565025951,0.3073849413343943,0.2456049021630105
77,0.40711627489336455,0.3626011705333502,0.23028255457328514
78,0.4140403923621473,0.3701377000347042,0.2158219076031485
79,0.3829073000101425,0.31195394142853833,0.3051387585613192
80,0.392394324568698,0.3907911051024742,0.21681457032882773
81,0.4439705026577499,0.3460958614176665,0.20993363592458356
82,0.38320877893090644,0.34465139321052407,0.2721398278585695
83,0.4101180187638299,0.3543510026405829,0.2355309785955873
84,0.4361844039673119,0.3113520770317953,0.2524635190008929
85,0.4801221322660352,0.33425421518484916,0.18562365254911567
86,0.40295449423230756,0.29313170281821443,0.30391380294947795
87,0.4101043983380888,0.29849364944403284,0.2914019522178783
88,0.392107266039447,0.3003883888060527,0.30750434515450037
89,0.459103901812221,0.2998117794337436,0.24108431875403546
90,0.487354260115328,0.3567968618447914,0.15584887803988046
91,0.4455189003979042,0.31287721747230685,0.24160388212978903
92,0.3859165244827556,0.36699869251856243,0.24708478299868197
93,0.39467141322488186,0.29828223904982387,0.30704634772529427
94,0.43829958983327705,0.39044370817732016,0.17125670198940285
95,0.4549840498606314,0.3052584326292326,0.23975751751013608
96,0.3852256757678104,0.37257654148381564,0.242197782748374
97,0.4120617513542898,0.34152581207493043,0.2464124365707798
98,0.46373772915083705,0.2971841537646782,0.23907811708448484
99,0.4996108945872279,0.34797721190672115,0.15241189350605094
100,0.3959960435942655,0.3140188381873516,0.289985118218383
